City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
195,Hervey Bay,AU,2021-12-21 05:28:56,-25.2986,152.8535,89.04,56,50,8.9
196,Saint-Ambroise,CA,2021-12-21 05:28:57,48.5501,-71.3324,21.74,88,100,4.36
197,Rocha,UY,2021-12-21 05:28:57,-34.4833,-54.3333,61.25,97,0,4.25
198,Chai Badan,TH,2021-12-21 05:28:58,15.2,101.1333,89.89,40,41,6.64
199,Asfi,MA,2021-12-21 05:28:58,32.2994,-9.2372,65.44,54,100,15.68
200,Nanortalik,GL,2021-12-21 05:28:58,60.1432,-45.2371,42.53,71,96,34.83
201,Victoria,HK,2021-12-21 05:25:32,22.2855,114.1577,64.04,91,100,5.99
202,Vila,PT,2021-12-21 05:28:59,42.0304,-8.1588,47.32,95,100,4.25
203,San Policarpo,PH,2021-12-21 05:28:59,12.1791,125.5072,82.8,79,100,10.0
204,Saint Anthony,US,2021-12-21 05:29:00,45.0205,-93.218,13.6,71,20,1.99
205,Pinjaur,IN,2021-12-21 05:29:00,30.7972,76.9172,61.83,17,5,2.48
206,Lompoc,US,2021-12-21 05:29:01,34.6391,-120.4579,51.12,82,1,0.0
207,Saint-Augustin,CA,2021-12-21 05:29:01,51.226,-58.6502,4.28,85,25,7.31
208,Vostok,RU,2021-12-21 05:29:02,46.4856,135.8833,10.2,93,100,11.56
209,Nongan,CN,2021-12-21 05:29:02,44.382,125.1685,10.81,52,0,9.57
210,Katsuura,JP,2021-12-21 05:29:02,35.1333,140.3,55.44,54,0,1.32
211,Tual,ID,2021-12-21 05:29:03,-5.6667,132.75,84.99,68,86,8.14
212,Nauta,PE,2021-12-21 05:29:03,-4.5061,-73.5757,73.62,99,87,2.1
213,Eureka,US,2021-12-21 05:29:04,40.8021,-124.1637,56.01,73,100,9.73
214,Adrar,MR,2021-12-21 05:29:04,20.5022,-10.0711,68.31,37,100,5.01
215,Waipawa,NZ,2021-12-21 05:29:05,-41.4122,175.5153,65.03,63,0,21.72
216,San Martin,AR,2021-12-21 05:29:05,-33.081,-68.4681,77.54,58,2,23.26
217,Wanaka,NZ,2021-12-21 05:27:24,-44.7,169.15,59.9,77,99,10.98
